Active Status,Type,Item,Description,Account, Cost , Price 
Active,Inventory Part,IPF-  POW Mil,Intermediate Post Fitting- Mill,4000 · Sales:4100 · Distribution,2.06,26.7
Active,Inventory Part,IPF-  POW W,Intermediate Post Fitting- White,4000 · Sales:4100 · Distribution,2.22,26.7
Active,Inventory Part,IPF-  Premium,Intermediate Post Fitting (Premium)- Mill,4000 · Sales:4100 · Distribution,8,33.6
Active,Inventory Part,Jig RCB,RCB Drilling Jig,4000 · Sales:4100 · Distribution,4.25, $-   
Active,Inventory Part,Kwixset Grout,,4000 · Sales:4100 · Distribution,70.09,122.3
Active,Inventory Part,LedLok- 5,"Ledger Lok- 5"" Screws",4000 · Sales:4100 · Distribution,0.37,0.95
Active,Inventory Part,"LedLok-3 5/8""","Ledger Lok- 3 5/8"""" Screws",4000 · Sales:4100 · Distribution,0.62,0.95
Active,Inventory Part,LIGHT-2 O/P SPLITTER,Lights- 2 Output Splitter,4000 · Sales:4100 · Distribution,2.38,4.26
Active,Inventory Part,LIGHT-5 O/P SPLITTER,Lights- 5 Output Splitter,4000 · Sales:4100 · Distribution,4.74,8.18
Active,Inventory Part,LIGHT-DOWN LGT-BLK,Flush Mount Deck Light with Trim Ring-Black,4000 · Sales:4100 · Distribution,4.17,7.48
Active,Inventory Part,LIGHT-DOWN LGT-BR,Flush Mount Deck Light with Trim Ring-Brown,4000 · Sales:4100 · Distribution,4.4,7.9
Active,Inventory Part,LIGHT-DOWN LGT-W,Flush Mount Deck Light with Trim Ring-White,4000 · Sales:4100 · Distribution,4.17,7.48
Active,Inventory Part,LIGHT-HARNESS 2',Lights - 2' Harness,4000 · Sales:4100 · Distribution,1.99,4.26
Active,Inventory Part,LIGHT-HARNESS 5',Lights- 5' Harness,4000 · Sales:4100 · Distribution,2.57,4.6
Active,Inventory Part,LIGHT-HARNESS 7',Lights- 7' Harness,4000 · Sales:4100 · Distribution,3.69,6.62
Active,Inventory Part,LIGHT-HARNESS 9',Lights- 9' Harness,4000 · Sales:4100 · Distribution,4.4,7.9
Active,Inventory Part,LIGHT-ORN PC  COMBO-BLK,"Lights-2.5"" Ornamental LV Combo Post Cap Light-Black",4000 · Sales:4100 · Distribution,29.87,53.64
Active,Inventory Part,LIGHT-ORN PC  COMBO-BR,"Lights-2.5"" Ornamental LV Combo Post Cap Light-Bronze",4000 · Sales:4100 · Distribution,26.96,53.92
Active,Inventory Part,LIGHT-ORN PC  COMBO-W,"Lights-2.5"" Ornamental LV Combo Post Cap Light-White",4000 · Sales:4100 · Distribution,26.82,53.64
Active,Inventory Part,LIGHT-SIDE LGT BLK,Recessed Riser Light - Black,4000 · Sales:4100 · Distribution,5.68,9.5
Active,Inventory Part,LIGHT-SIDE LGT BR,Recessed Riser Light - Bronze,4000 · Sales:4100 · Distribution,5.68,9.56
Active,Inventory Part,LIGHT-SIDE LGT W,Recessed Riser Light - White,4000 · Sales:4100 · Distribution,4.75,9.5
Active,Inventory Part,LIGHT-SOLAR ORN POST CAP-BLK,"2.5"" Solar Ornamental Post Cap Light-Black",4000 · Sales:4100 · Distribution,24.8,49.6
Active,Inventory Part,LIGHT-SOLAR ORN POST CAP-BR,"2.5"" Solar Ornamental Post Cap Light-Bronze",4000 · Sales:4100 · Distribution,24.96,49.92
Active,Inventory Part,LIGHT-SOLAR ORN POST CAP-W,"2.5"" Solar Ornamental Post Cap Light-White",4000 · Sales:4100 · Distribution,24.8,49.6
Active,Inventory Part,LIGHT-TRANSFORMER,50 Watt Smart Power Supply w/ Photoeye/Timer/Remote,4000 · Sales:4100 · Distribution,114.98,206.6
Active,Inventory Part,NC- Blk,Nylon Bolt Cap- Black,4000 · Sales:4100 · Distribution,0.08,0.15
Active,Inventory Part,NC- Br,Nylon Bolt Cap- Bronze,4000 · Sales:4100 · Distribution,0.08,0.15
Active,Inventory Part,NC- Silver,Nylon Bolt Cap- Clear Silver,4000 · Sales:4100 · Distribution,0.06,0.15
Active,Inventory Part,NC- W,Nylon Bolt Cap- White,4000 · Sales:4100 · Distribution,0.08,0.15
Active,Inventory Part,Panel Grip Base Shoe - 10',"Panel Grip Base Shoe - 10' Length, mill finish, drilled for surface mount 12"" OC, requires Isolators every 12-14""",4000 · Sales:4100 · Distribution,244.45,488.9
Active,Inventory Part,Panel Grip Base Shoe - 20',"Panel Grip Base Shoe - 20' Length, mill finish, drilled for surface mount 12"" OC, requires Isolators every 12-14""",4000 · Sales:4100 · Distribution,448.9,897.8
Active,Inventory Part,"Panel Grip Isolator - 13/16""","Panel Grip Isolator for 13/16"" glass - For use with Panel Grip Base Shoe - required every 12-14""",4000 · Sales:4100 · Distribution,10.08,20.16
Active,Inventory Part,PBP 1-Mil,"Midspan picket bottom plate, includes coupling nut and machine screw - Mill Finish",4000 · Sales:4100 · Distribution,3.95,12.4
Active,Inventory Part,PC1- POW Blk,Pyramid Post Cap- Black,4000 · Sales:4100 · Distribution,2,8.6
Active,Inventory Part,PC1- POW Br,Pyramid Post Cap- Bronze,4000 · Sales:4100 · Distribution,2,8.6
Active,Inventory Part,PC1- POW Mil,Pyramid Post Cap- Mill Finish,4000 · Sales:4100 · Distribution,1.5,8.6
Active,Inventory Part,PC1- POW W,Pyramid Post Cap- White,4000 · Sales:4100 · Distribution,2,8.6
Active,Inventory Part,PC1-135°-Mil,Post Cap-135°- Mill Finish,4000 · Sales:4100 · Distribution,18,36.5
Active,Inventory Part,PC2-Mil,"Flat Post Cap- Mill Finish, Coastal applications",4000 · Sales:4100 · Distribution,3.5,16.2
Active,Inventory Part,PE- Blk,Lined Post Extrusion (20')- Black,4000 · Sales:4100 · Distribution,71.39,286
Active,Inventory Part,PE- Br,"Lined Post Extrusion (18' 9"")- Bronze",4000 · Sales:4100 · Distribution,112.61,250.6
Active,Inventory Part,PE- Mil,"Lined Post Extrusion (21' 10"")- Mill Finish",4000 · Sales:4100 · Distribution,62.01,194.2
Active,Inventory Part,PE- W IND,"Lined Post Extrusion (21' 10"")- White..Industrial six screw chase",4000 · Sales:4100 · Distribution,69.13,216.5
Active,Inventory Part,PE-135°- Blk,"Post Extrusion - 135° (21' 10"")- Black",4000 · Sales:4100 · Distribution,120.44,268.8
Active,Inventory Part,PE-135°- Br,"Post Extrusion - 135° (21' 10"")- Bronze",4000 · Sales:4100 · Distribution,98.64,268.8
Active,Inventory Part,PE-135°- Cl,"Post Extrusion - 135° (21' 10"")- Clear Anodized",4000 · Sales:4100 · Distribution,114.67,365.57
Active,Inventory Part,PE-135°- Mil,"Post Extrusion - 135° (21' 10"")- Mill Finish",4000 · Sales:4100 · Distribution,79.96,268.8
Active,Inventory Part,PE-135°- W,"Post Extrusion - 135° (21' 10"")- White",4000 · Sales:4100 · Distribution,268.8,268.8
Active,Inventory Part,PEU- Blk 18 3/4,"No Line Post Extrusion (18' 9"")- Black",4000 · Sales:4100 · Distribution,81.02,188.2
Active,Inventory Part,PEU- Brn 18 3/4,"No Line Post Extrusion (18' 9"")- Bronze",4000 · Sales:4100 · Distribution,68.86,188.2
Active,Inventory Part,PEU- Cl 18 3/4,"No Line Post Extrusion (18' 9"")- Clear Anodized",4000 · Sales:4100 · Distribution,84.96,255.95
Active,Inventory Part,PEU- CP 18 3/4,"No Line Post Extrusion (18' 9"")-  Cool Parchment, AT-0157",4000 · Sales:4100 · Distribution,107.61,258.2
Active,Inventory Part,PEU- Gol Brn 18 3/4,"No Line Post Extrusion (18' 9"")- Glossy Brown UC138309, Duracron S600..(6005A-T61)",4000 · Sales:4100 · Distribution,85,188.2
Active,Inventory Part,PEU- Mill 18 3/4,"No Line Post Extrusion (18' 9"")- Mill",4000 · Sales:4100 · Distribution,62.17,188.2
Active,Inventory Part,PEU- W 18 3/4,"No Line Post Extrusion (18' 9"")- White",4000 · Sales:4100 · Distribution,68.88,188.2
Active,Inventory Part,PEU-3x3 Cl 18.75,"3""x3"" Post Extrusion (18' 9"")- Clear Anodized",4000 · Sales:4100 · Distribution,125.53,301.3
Active,Inventory Part,PEU500 Cap - Mill,Cap for PEU500 - No Notches - Mill Finish,4000 · Sales:4100 · Distribution,5,15
Active,Inventory Part,PEU500 Cap 1 Notch - Mill,Cap for PEU500 - 1 notch for end post - No Grab Rail,4000 · Sales:4100 · Distribution,10.46,22.41
Active,Inventory Part,PEU500 GR Cap Inside - Mill,Grab Rail Top Cap for PEU500 - 2 notches for inside corner,4000 · Sales:4100 · Distribution,75,150
Active,Inventory Part,PEU500 GR Cap Left - Mill,Grab Rail Top Cap for PEU500 - 1 notch on left side,4000 · Sales:4100 · Distribution,21.9,30
Active,Inventory Part,PEU500 GR Cap Outside - Mill,Grab Rail Top Cap for PEU500 - 2 notches for outside corner,4000 · Sales:4100 · Distribution,20,40
Active,Inventory Part,PEU500 GR Cap Right - Mill,Grab Rail Top Cap for PEU500 - 1 notch on right side,4000 · Sales:4100 · Distribution,21.9,30
Active,Inventory Part,"PEU500, Blk","Series 500 Slotted Post Extrusion, Black, (6005A-T61), 18.50'",4000 · Sales:4100 · Distribution,152,364.8
Active,Inventory Part,"PEU500, Clr","Series 500 Slotted Post Extrusion  (6005A-T61), C14 Clear Class I-4 Min E, 18.50'",4000 · Sales:4100 · Distribution,135.08,324
Active,Inventory Part,"PEU500, MF","Series 500 Slotted Post Extrusion, Mill Finish (6005A-T61), 18.50'",4000 · Sales:4100 · Distribution,110,220
Active,Inventory Part,PEU650- Blk,"No Line Post Extrusion 650 (16' 6"")-Black (6005A-T61)",4000 · Sales:4100 · Distribution,49.39,172
Active,Inventory Part,PEU650- Cl,"No Line Post Extrusion 650 (16' 6"")-C14 Clear Class I-4 Min E (6005A-T61)",4000 · Sales:4100 · Distribution,63.07,172
Active,Inventory Part,PEU650- Cl long,"No Line Post Extrusion 650 (18' 9"")-C14 Clear Class I-4 Min E (6005A-T61)",4000 · Sales:4100 · Distribution,64.61,172
Active,Inventory Part,PEU650 Bottom Cap - Mill,"1.5"" Slim Post Bottom Cap",4000 · Sales:4100 · Distribution,1.45, $-   
Active,Inventory Part,Pocket Infill- Blk,Series 200/999 Pocket Infill ( 20' )-  Black,4000 · Sales:4100 · Distribution,30.83,76.4
Active,Inventory Part,Pocket Infill- Br,Series 200/999 Pocket Infill ( 20' )- Bronze,4000 · Sales:4100 · Distribution,26.02,76.4
Active,Inventory Part,Pocket Infill- Cl,Series 200/999 Pocket Infill ( 20' )- Clear Anodized,4000 · Sales:4100 · Distribution,32.73,103.9
Active,Inventory Part,Pocket Infill- CP,"Series 200/999 Pocket Infill ( 20' )-   Cool Parchment, AT-0157",4000 · Sales:4100 · Distribution,45.45,109.1
Active,Inventory Part,Pocket Infill- Mil,Series 200/999 Pocket Infill ( 20' )- Mill Finish,4000 · Sales:4100 · Distribution,15.52,76.4
Active,Inventory Part,Pocket Infill- W,Series 200/999 Pocket Infill ( 20' )- White,4000 · Sales:4100 · Distribution,24.58,76.4
Active,Inventory Part,PTE1- Blk,"Picket Extrusion (21' 7"") 5/8"" X 5/8""- Black",4000 · Sales:4100 · Distribution,11.39,28
Active,Inventory Part,PTE1- Br,"Picket Extrusion (21' 7"") 5/8"" X 5/8""- Bronze",4000 · Sales:4100 · Distribution,10.39,28
Active,Inventory Part,PTE1- Cl,"Picket Extrusion (21' 7""),  5/8"" X 5/8""Clear Anodized",4000 · Sales:4100 · Distribution,12.11,38.08
Active,Inventory Part,PTE1- Mil,"Picket Extrusion (21' 7""), 5/8"" X 5/8"", Mill Finish",4000 · Sales:4100 · Distribution,6.15,28
Active,Inventory Part,PTE1- W,"Picket Extrusion (21' 7"") 5/8"" X 5/8""- White",4000 · Sales:4100 · Distribution,10.39,28
Active,Inventory Part,PTE15 Blk,"Picket Extrusion (20')-1 1/2"" X 5/8"", Black",4000 · Sales:4100 · Distribution,26.4,72
Active,Inventory Part,PVI,Picket Vinyl Insert (10'),4000 · Sales:4100 · Distribution,2.18,9.7
Active,Inventory Part,RCB screws- DP,"RCB screws- Drill Points  #10 x 2"" Phillips Pan SS",4000 · Sales:4100 · Distribution,0.07,0.33
Active,Inventory Part,RCB screws -  20 Count Bag,"#10 x 2"" Phillips Pan Head Self Drilling Screw - 410 Stainless - 1000 Hr coating - Bag of 20",4000 · Sales:4100 · Distribution,2.7,8
Active,Inventory Part,RCBE1,Rail Connecting Block Extrusion 100 (10'),4000 · Sales:4100 · Distribution,7.49,17.2
Active,Inventory Part,RCBE1 End Plate,End Plate for RCBE1,4000 · Sales:4100 · Distribution,5.3,12
Active,Inventory Part,RCBE2,Rail Connecting Block Extrusion 200 (10'),4000 · Sales:4100 · Distribution,13.84,22
Active,Inventory Part,RCBE5,Rail Connecting Block Extrusion 200 (10'),4000 · Sales:4100 · Distribution,12.81,32.6
Active,Inventory Part,Rivets-BP Blk,"Rivets for Base Plates, one, black",4000 · Sales:4100 · Distribution,0.04,0.56
Active,Inventory Part,Rivets-BP Brn,"Rivets for Base Plates, one, bronze",4000 · Sales:4100 · Distribution,0.28,0.56
Active,Inventory Part,Rivets-BP Mil,"Rivets for Base Plates, one, Mill",4000 · Sales:4100 · Distribution,0.28,0.56
Active,Inventory Part,Rivets-BP Wht,"Rivets for Base Plates, one, white",4000 · Sales:4100 · Distribution,0.28,0.56
Active,Inventory Part,Rubber Gkt Cubes,"5/8"" X 1, 3/8"" thick, 40 Duro Neoprene Cubes",4000 · Sales:4100 · Distribution,0.75,1.75
Active,Inventory Part,SDS Bag 25 - SS,"Bag of 25 TR & BR Screws - #10 x 3/4"" Phillips Pan Head SDS Stainless Steel",4000 · Sales:4100 · Distribution,1.5,4.9
Active,Inventory Part,SDS Bag 25 - SS Black,"Bag of 25 TR & BR Screws - #10 x 3/4"" Phillips Pan Head SDS Stainless Steel - Black",4000 · Sales:4100 · Distribution,3.03,4.9
Active,Inventory Part,SDS Bag 25 - SS Brown,"Bag of 25 TR & BR Screws - #10 x 3/4"" Phillips Pan Head SDS Stainless Steel Brown",4000 · Sales:4100 · Distribution,3.1,4.9
Active,Inventory Part,SDS Bag 25 - SS White,"Bag of 25 TR & BR Screws - #10 x 3/4"" Phillips Pan Head SDS Stainless Steel White",4000 · Sales:4100 · Distribution,3.18,4.9
Active,Inventory Part,Series 500 Int Post Cap,Series 500 Intermediate Post cap,4000 · Sales:4100 · Distribution,9.31, $-   
Active,Inventory Part,SPE1- Blk,Series 100 Picket Spacer Extrusion (20')- Black,4000 · Sales:4100 · Distribution,7.35,28
Active,Inventory Part,SPE1- Br,Series 100 Picket Spacer Extrusion (20')- Bronze,4000 · Sales:4100 · Distribution,7.48,28
Active,Inventory Part,SPE1- Cl,"Series 100 Picket Spacer Extrusion (20'), Clear Anodized",4000 · Sales:4100 · Distribution,13.59,38.08
Active,Inventory Part,SPE1- Mil,"Series 100 Picket Spacer Extrusion (20'), Mill Finish",4000 · Sales:4100 · Distribution,7.05,28
Active,Inventory Part,SPE1- W,Series 100 Picket Spacer Extrusion (20')- White,4000 · Sales:4100 · Distribution,8.28,28
Active,Inventory Part,SPE1A- Blk,Series 100 Picket Spacer Extrusion (20')- Black,4000 · Sales:4100 · Distribution,11.04,28
Active,Inventory Part,SPE2- Blk,Series 200 Picket Spacer Extrusion (20')- Black,4000 · Sales:4100 · Distribution,7.03,16.1
Active,Inventory Part,SPE2- Br,Series 200 Picket Spacer Extrusion (20')- Bronze,4000 · Sales:4100 · Distribution,5.75,16.1
Active,Inventory Part,SPE2- Cl,Series 200 Picket Spacer Extrusion (20')- Clear Anodized,4000 · Sales:4100 · Distribution,7.32,21.9
Active,Inventory Part,SPE2- Gol Brn,"Series 200 Picket Spacer Extrusion (20')- Glossy Brown UC138309, Duracron S600",4000 · Sales:4100 · Distribution,6.56,16.1
Active,Inventory Part,SPE2- Mil,Series 200 Picket Spacer Extrusion (20')- Mill Finish,4000 · Sales:4100 · Distribution,3.36,16.1
Active,Inventory Part,SPE2- W,Series 200 Picket Spacer Extrusion (20')- White,4000 · Sales:4100 · Distribution,5.33,16.1
Active,Inventory Part,Splice Flat Series 200,Flat straight splice,4000 · Sales:4100 · Distribution,3.95,6.4
Active,Inventory Part,Splice Series 225,Flat intermediate splice for TR225,4000 · Sales:4100 · Distribution,2.55,10
Active,Inventory Part,SS AW 30,SS 30* Angled Washer,4000 · Sales:4100 · Distribution,0.71,2.1
Active,Inventory Part,"SS Cable- 1/8""","Stainless steel cable, 316 1x19, 1/8""; per foot",4000 · Sales:4100 · Distribution,0.53,0.58
Active,Inventory Part,"SS Cable- 1/8"" 1000 ft spool","1000 ft of stainless steel cable, 316 1x19, 1/8""",4000 · Sales:4100 · Distribution,250,582
Active,Inventory Part,"SS Cable-1/4""","Stainless steel cable, 316 1x19, 1/4""; per foot",4000 · Sales:4100 · Distribution,0.31,1.35
Active,Inventory Part,"SS Cable-3/16""","Stainless steel cable, 316 1x19, 3/16""; per foot",4000 · Sales:4100 · Distribution,0.15,0.9
Active,Inventory Part,SS Concrete Wedge Anchor,"3/8""x3-3/4"" Stainless Steel Wedge Anchor for Concrete Application",4000 · Sales:4100 · Distribution,2.04,4.25
Active,Inventory Part,SS DH HS,"Dome head terminal, 1/8"" hand swage, U.S. type, AISI316..",4000 · Sales:4100 · Distribution,0.3,2
Active,Inventory Part,SS DPHS Short,"SS 1/8"" Hand swage stud terminal with drop pin, short",4000 · Sales:4100 · Distribution,1.44,5.6
Active,Inventory Part,SS DPMS Short,"SS 1/8"" Machine swage stud terminal with drop pin, short",4000 · Sales:4100 · Distribution,1.46,5.6
Active,Inventory Part,SS DTHS,SS Deck Toggle Hand Swage Fitting - Includes stainless steel wood screws,4000 · Sales:4100 · Distribution,0.92,8.65
Active,Inventory Part,SS End Plate Screws,#8 X 3/4 Philips Flat Self Drilling 410 S/S W/ 1000 Hr Coating,4000 · Sales:4100 · Distribution,0.05,0.2
Active,Inventory Part,SS LSHS,SS Lag Stud Hand Swage Fitting includes,4000 · Sales:4100 · Distribution,0.83,6
Active,Inventory Part,SS STTF,"1/8"" Special swage stud, internally threaded fitting, UNF thread",4000 · Sales:4100 · Distribution,1.31,12.2
Active,Inventory Part,SS Swageless I,"SS Swageless Fitting for Posts, 1/8"" Cable",4000 · Sales:4100 · Distribution,1.94,12
Active,Inventory Part,SS Swageless Key,SS Swageless Fitting Release Key,4000 · Sales:4100 · Distribution,0.57,2
Active,Inventory Part,SS TBDPHS,SS Turn Buckle Drop Pin Hand Swage Fitting,4000 · Sales:4100 · Distribution,2.45,13
Active,Inventory Part,SS TBDTHS,SS Turn Buckle Deck Toggle Hand Swage Fitting - Includes stainless steel wood screws,4000 · Sales:4100 · Distribution,2.23,15.3
Active,Inventory Part,SS TBDTMS,SS Turn Buckle Deck Toggle Machine Swage Fitting - includes stainless steel wood screws,4000 · Sales:4100 · Distribution,2.73,15.3
Active,Inventory Part,SS TBHS,"1/8"" SS Turn Buckle Hand Swage Fitting",4000 · Sales:4100 · Distribution,1.83,12.5
Active,Inventory Part,SS TLHS,SS T - Lock Hand Swage Fitting,4000 · Sales:4100 · Distribution,1.25,3.65
Active,Inventory Part,SS TLMS,SS T - Lock Machine Swage Fitting,4000 · Sales:4100 · Distribution,0.75,3.65
Active,Inventory Part,SS TTAN,SS Acorn Nut for Threaded Terminal,4000 · Sales:4100 · Distribution,0.2,0.6
Active,Inventory Part,SS TTHS,SS Threaded Terminal Hand Swage Fitting with nut.,4000 · Sales:4100 · Distribution,0.5,5.2
Active,Inventory Part,SS TTHS- Long (Stair),"Extra Long 1/8"" SS Threaded Terminal Hand Swage Fitting includes Nut, Acorn Nut and Flat Washer",4000 · Sales:4100 · Distribution,1.74,5.81
Active,Inventory Part,SS TTHS 3-16,"3/16"" SS Threaded Terminal Hand Swage Fitting includes Nut, Acorn Nut and Flat Washer",4000 · Sales:4100 · Distribution,0.8,6.36
Active,Inventory Part,SS TTMS,"SS Threaded Terminal Machine Swage Fitting includes Nut,",4000 · Sales:4100 · Distribution,0.52,5.2
Active,Inventory Part,SS TTMS 1-4,"1/4"" SS Threaded Terminal Machine Swage Fitting includes Nut, Acorn Nut and Flat Washer",4000 · Sales:4100 · Distribution,2.05,16.51
Active,Inventory Part,SS TTW,SS Washer for Threaded Terminal,4000 · Sales:4100 · Distribution,0.01,0.1
Active,Inventory Part,SS W805X100 - Br,"TR & BR Screws - #10 x 5/8"" Phillips Pan Head Self Drill Stainless Steel Zinc Plated - Bronze- One screw",4000 · Sales:4100 · Distribution,0.08,0.2
Active,Inventory Part,SS W805X100 - W,"TR & BR Screws - #10 x 5/8"" Phillips Pan Head Self Drill Stainless Steel Zinc Plated - White- One screw",4000 · Sales:4100 · Distribution,0.08,0.2
Active,Inventory Part,"Stanchion 2""","""C"" channel stanchion- 2"" (back) x 1"" (flanges) x 3/16 thick. 21"" in length.  Galvanized steel",4000 · Sales:4100 · Distribution,7.8,12
Active,Inventory Part,T-40 Torx Impact Bit-Sales,T-40 Torx Impact Bit,4000 · Sales:4100 · Distribution, $-   , $-   
Active,Inventory Part,T Bolt Lock Washer 1/2- Halfen,"1/2"" Lock Washer for tee bolts w/hex nuts for HT4512 channel profile, LW1211",4000 · Sales:4100 · Distribution,0.13,0.9
Active,Inventory Part,T Bolt Washer 1/2- Halfen,"1/2"" Flat Washer for tee bolts w/hex nuts for HT4512 channel profile, HW1211",4000 · Sales:4100 · Distribution,0.2,0.6
Active,Inventory Part,T Bolts 1/2 x 1 1/2- Halfen,"tee bolts w/hex nuts for HT4512 channel profile, BF4411 –(HALFEN 4022B&N M12X40 (4.6))  std. grade, electo plated",4000 · Sales:4100 · Distribution,2.37,6.42
Active,Inventory Part,T Bolts 1/2x2- Halfen,"tee bolts w/hex nuts for HT4512 channel profile, BH4411 – (HALFEN 4022B&N M12X50 (4.6)) std. grade, electo plated",4000 · Sales:4100 · Distribution,2.25,7.5
Active,Inventory Part,T Bolts 1/2x2 1/2- Halfen,"tee bolts w/hex nuts for HT4512 channel profile, BJ4411 –(HALFEN 4022B&N M12X60 (4.6))  std. grade, electo plated",4000 · Sales:4100 · Distribution,2.05,6.15
Active,Inventory Part,"Titen HD 1/4"" x 4"" Zinc / HDG",Titen HD 1/4 x 4 Zinc / HDG,4000 · Sales:4100 · Distribution,0.64,1.5
Active,Inventory Part,"Titen HD 3/8 x 4"" SS",Titen HD 3/8 x 4 316 Stainless,4000 · Sales:4100 · Distribution,4.25,8.5
Active,Inventory Part,"Titen HD 3/8"" x 4"" Zinc / HDG",Titen HD 3/8 x 4 Zinc / HDG,4000 · Sales:4100 · Distribution,1.07,2.35
Active,Inventory Part,TR100 Blk,Black Round Top Rail (20'),4000 · Sales:4100 · Distribution,66.09,154
Active,Inventory Part,TR100 Br,Brown Round Top Rail (20'),4000 · Sales:4100 · Distribution,63.9,154
Active,Inventory Part,TR100 Mil,Mill Finish Round Top Rail (20'),4000 · Sales:4100 · Distribution,63.89,154
Active,Inventory Part,TR100 Wht,White Round Top Rail (20'),4000 · Sales:4100 · Distribution,6.35,154
Active,Inventory Part,TR175A  Blk,Slim Square Top Rail ( 18.25' )- Black,4000 · Sales:4100 · Distribution,46.58,124
Active,Inventory Part,TR175A  Br 18.5',Slim Square Top Rail ( 18.50' )- Bronze,4000 · Sales:4100 · Distribution,43.09,124
Active,Inventory Part,TR175A  MF,Slim Square Top Rail ( 18.25' )- Mill Finish,4000 · Sales:4100 · Distribution,46.58,124
Active,Inventory Part,TR175A Br,Slim Square Top Rail ( 20' )- Bronze,4000 · Sales:4100 · Distribution,46.58,134.1
Active,Inventory Part,TR200 Blk,Top Rail 200 ( 20' )- Black,4000 · Sales:4100 · Distribution,71.15,162.7
Active,Inventory Part,TR200 Br,Top Rail 200 ( 20' )- Bronze,4000 · Sales:4100 · Distribution,61.03,162.7
Active,Inventory Part,TR200 Cl,Top Rail 200 ( 20' )- Clear Anodized,4000 · Sales:4100 · Distribution,79.76,221.27
Active,Inventory Part,TR200 CP,"Top Rail 200 ( 20' )-  Cool Parchment, AT-0157",4000 · Sales:4100 · Distribution,93.04,223.3
Active,Inventory Part,TR200 Gol Brn,"Top Rail 200 ( 20' )- Glossy Brown UC138309, Duracron S600",4000 · Sales:4100 · Distribution,55.17,162.7
Active,Inventory Part,TR200 Mil,Top Rail 200 ( 20' )- Mill Finish,4000 · Sales:4100 · Distribution,32,162.7
Active,Inventory Part,TR200 W,Top Rail 200 ( 20' )- White,4000 · Sales:4100 · Distribution,61.03,162.7
Active,Inventory Part,"TR200,15' Blk",Top Rail 200 ( 15' )- Black,4000 · Sales:4100 · Distribution,65.71,109
Active,Inventory Part,TR225 Blk,Top Rail 225 ( 20' )- Black,4000 · Sales:4100 · Distribution,71.15,202.2
Active,Inventory Part,TR225 Cl,Top Rail 225 ( 20' )- Clear Anodized,4000 · Sales:4100 · Distribution,87.89,202.2
Active,Inventory Part,TR375 Blk,Square Top Rail ( 20' )- Black,4000 · Sales:4100 · Distribution,57.21,138.9
Active,Inventory Part,TR375 Br,Square Top Rail ( 20' )- Bronze,4000 · Sales:4100 · Distribution,52.96,138.9
Active,Inventory Part,TR375 Cl,Square Top Rail ( 20' )- Clear Anodized,4000 · Sales:4100 · Distribution,63.26,188.9
Active,Inventory Part,TR375 Mil,Square Top Rail ( 20' )- Mill Finish,4000 · Sales:4100 · Distribution,42.73,138.9
Active,Inventory Part,TR375 W,Square Top Rail ( 20' )- White,4000 · Sales:4100 · Distribution,52.96,138.9
Active,Inventory Part,TR400 Blk,Top Rail 400 ( 20' )- Black,4000 · Sales:4100 · Distribution,25.74,128.6
Active,Inventory Part,TR400 Br,Top Rail 400 ( 20' )- Bronze,4000 · Sales:4100 · Distribution,23.11,128.6
Active,Inventory Part,TR400 Cl,Top Rail 400 ( 20' )- Clear Anodized,4000 · Sales:4100 · Distribution,29.67,174.9
Active,Inventory Part,TR400 Mil,Top Rail 400 ( 20' )- Mill Finish,4000 · Sales:4100 · Distribution,15.41,128.6
Active,Inventory Part,TR400 W,Top Rail 400 ( 20' )- White,4000 · Sales:4100 · Distribution,54.29,128.6
Active,Inventory Part,TR650 EC (L) Mil,"TR650 End Cap, Drilling left",4000 · Sales:4100 · Distribution,1, $-   
Active,Inventory Part,TR650 EC (R) Mil,"TR650 End Cap, Drilling right",4000 · Sales:4100 · Distribution,1, $-   
Active,Inventory Part,TR670 -Blk,Series 670 Top Rail (20.00')- Black..(6005A-T61),4000 · Sales:4100 · Distribution,93.85,264
Active,Inventory Part,TR670 -Cl,Series 670 Top Rail (20.00')- C14 Clear Class I-4 Min E (6005A-T61),4000 · Sales:4100 · Distribution,101,200
Active,Inventory Part,TR670 -Mill F,Series 670 Top Rail (20.00')- Mill Finish..(6005A-T61),4000 · Sales:4100 · Distribution,79.4,264
Active,Inventory Part,TR999 Blk,Top Rail 999 -( 20' )- Black,4000 · Sales:4100 · Distribution,58.48,134.4
Active,Inventory Part,TR999 Br,Top Rail 999 -( 20' )- Bronze,4000 · Sales:4100 · Distribution,53.29,134.4
Active,Inventory Part,TR999 Cl,Top Rail 999 -( 20' )- Clear Anodized,4000 · Sales:4100 · Distribution,68.64,182.78
Active,Inventory Part,TR999 Mil,Top Rail 999 -( 20' )- Mill Finish,4000 · Sales:4100 · Distribution,36.48,134.4
Active,Inventory Part,TR999 W,Top Rail 999 -( 20' )- White,4000 · Sales:4100 · Distribution,51.54,134.4
Active,Inventory Part,Transit Inventory,Inventory in Transit and/or Production,4000 · Sales:4100 · Distribution,1,1
Active,Inventory Part,Trolly 4 Wheel NWB,34110415 Trolly 4 Wheel NWB,4000 · Sales:4100 · Distribution,75,150
Active,Inventory Part,"Tube, 2x4x..25 Mill","Rectangle Tube (20' )-(6005A-T61), Mill Finish",4000 · Sales:4100 · Distribution,60.51,145.3
